Collapse Sidebar,サイドバーを折りたたむ,
Search (Ctrl+K),検索 (Ctrl+K),
Search...,検索...,
Search Results,検索結果,
No matches found,一致する結果がありません,
Favorites,お気に入り,
Recent,最近,
Unpin Favorite,お気に入りを解除,
Favorite,お気に入り,
Pin Favorite,お気に入りにピン留め,
Desk User,デスクユーザー,
User Profile,ユーザープロフィール,
Settings menu,設定メニュー,
Settings,設定,
Toggle Theme,テーマを切り替え,
Light Mode,ライトモード,
Dark Mode,ダークモード,
Language,言語,
Log Out,ログアウト,
Theme updated,テーマを更新しました,
Language updated,言語を更新しました,
Toggle Menu,メニューを切り替え,
Profile,プロフィール,
English,英語,
বাংলা,ベンガル語,
日本語,日本語,
Sidebar Configuration,サイドバー設定,
Sidebar Menu Item,サイドバーメニュー項目,
Sidebar Name,サイドバー名,
Company,会社,
Company Name shown in the sidebar header,サイドバーヘッダーに表示する会社名,
Logo,ロゴ,
Active,有効,
Enable this sidebar configuration globally,このサイドバー設定を全体で有効にする,
Sidebar Features,サイドバー機能,
Enable Favorites,お気に入りを有効にする,
Enable Recent Items,最近のアイテムを有効にする,
Enable Search,検索を有効にする,
Sidebar Theme,サイドバーテーマ,
Collapse By Default,デフォルトで折りたたむ,
Sidebar Colors,サイドバーの色,
Primary Color,プライマリカラー,
"Active links, accents, and highlights",アクティブリンク・アクセント・ハイライト,
Secondary Color,セカンダリカラー,
Muted text and secondary UI elements,ミュートテキストとサブUI要素,
Background (Light Theme),背景（ライトテーマ）,
Background (Dark Theme),背景（ダークテーマ）,
Menu Items Setup,メニュー項目の設定,
Menu Items,メニュー項目,
Set Primary / Secondary colors and Light / Dark backgrounds. Changes apply on save after cache clears.,プライマリ/セカンダリの色とライト/ダークの背景を設定します。保存後にキャッシュをクリアすると反映されます。,
Light,ライト,
Dark,ダーク,
System,システム,
Label,ラベル,
Icon,アイコン,
Parent Item,親項目,
Label of the parent item to group under,グループ化する親項目のラベル,
Sequence,順序,
Enabled,有効,
Open In New Tab,新しいタブで開く,
Route Type,ルートタイプ,
Route URL,ルートURL,
Desk route or URL. Auto-filled from Route Type; you can edit anytime.,デスクルートまたはURL。ルートタイプから自動入力。いつでも編集できます。,
DocType Link,ドキュメントタイプリンク,
Report Link,レポートリンク,
Page Link,ページリンク,
Workspace Link,ワークスペースリンク,
URL,URL,
Custom Route,カスタムルート,
Permission Rule,権限ルール,
DocType,ドキュメントタイプ,
Report,レポート,
Page,ページ,
Workspace,ワークスペース,
Frappe Whitelabel,フrappeホワイトラベル,
